Range,Pixel Pair 1,Pixel Pair 2
Boston1,230,444
Boston2,414,530
Boston3,314,632
Boston4,457,647
Boston5,538,375
Boston6,592,360
Boston7,510,426
Boston8,568,413
Boston9,568,488
Boston10,664,407
Boston11,720,372
Boston12,661,484
Boston13,539,590
Boston14,600,596
Boston15,687,574
Boston16,754,496
Boston17,824,538
Boston18,728,693
Boston19,639,668
Boston20,600,748
Boston21,943,575
Boston22,1060,612
Boston23,1138,658
Boston24,1232,704
Boston25,1318,793
Boston26,849,450
Boston27,918,448
Boston28,877,401
Boston29,932,388
Boston30,1089,197
Boston31,1132,243
Boston32,1153,336
Boston33,884,262
Boston34,946,270
Boston35,870,105
Boston36,914,154
Boston37,502,134
Boston38,627,126
Boston39,625,311
Boston40,694,272
Boston41,794,278
Boston42,791,342
