Territory,Connections,Continent,Value,Pixel Pair 1,Pixel Pair 2
French_Guiana,"Amapa,Suriname",Panama,8,571,79
Suriname,"French_Guiana,Guyana,Para",Panama,8,526,88
Guyana,"Bolivar,Monagas,Para,Roraima,Suriname",Panama,8,471,76
Monagas,"Bolivar,Guyana,Guarico",Panama,8,405,43
Bolivar,"Guainia,Guyana,Guarico,Meta,Monagas,Roraima",Panama,8,401,83
Guainia,"Amazonas,Bolivar,Meta,Roraima",Panama,8,358,115
Meta,"Amazonas,Amazonas_do_Sul,Antioquia,Bolivar,Guainia,Guarico,Huila,Loreto",Panama,8,258,169
Guarico,"Antioquia,Bolivar,Meta,Monagas",Panama,8,290,57
Antioquia,"Choco,Guarico,Huila,Meta",Panama,8,232,58
Huila,"Antioquia,Choco,Loreto,Meta",Panama,8,205,149
Choco,"Antioquia,Antofagasta,Equador,Huila,Loreto",Panama,8,182,87
Equador,"Choco,Loreto,San_Martin",Oeste,10,114,219
Loreto,"Acre,Amazonas_do_Sul,Ancash,Choco,Equador,Huila,Meta,San_Martin,Ucayali",Oeste,10,210,238
San_Martin,"Ancash,Equador,Loreto",Oeste,10,135,274
Ancash,"Cusco,Loreto,San_Martin,Ucayali",Oeste,10,184,343
Ucayali,"Acre,Ancash,Cusco,Loreto",Oeste,10,230,330
Cusco,"Acre,Ancash,La_Paz,Tarapaca,Ucayali",Oeste,10,281,392
La_Paz,"Acre,Amazonas_do_Sul,Beni,Cusco,Oruro,Rondonia,Tarapaca",Oeste,10,350,414
Beni,"La_Paz,Oruro,Rondonia,Santa_Cruz",Oeste,10,399,370
Santa_Cruz,"Beni,Boqueron,Mato_Grosso,Mato_Grosso_do_Sul,Oruro,Rondonia",Oeste,10,480,409
Oruro,"Antofagasta,Beni,Boqueron,La_Paz,Salta,Santa_Cruz,Tarapaca",Oeste,10,396,460
Boqueron,"Chaco,Mato_Grosso_do_Sul,Oruro,Salta,San_Pedro,Santa_Cruz",Oeste,10,533,473
San_Pedro,"Boqueron,Chaco,Mato_Grosso_do_Sul,Parana",Oeste,10,623,528
Mato_Grosso_do_Sul,"Boqueron,Goias,Mato_Grosso,Parana,San_Pedro,Santa_Cruz,Sao_Paulo",Centro,4,626,438
Goias,"Bahia,Mato_Grosso,Mato_Grosso_do_Sul,Minas_Gerais,Tocantins",Centro,4,719,354
Mato_Grosso,"Amazonas_do_Sul,Goias,Mato_Grosso_do_Sul,Para_do_Sul,Rondonia,Santa_Cruz,Tocantins",Centro,4,595,329
Rondonia,"Amazonas_do_Sul,Beni,La_Paz,Mato_Grosso,Santa_Cruz",Norte,9,433,306
Amazonas_do_Sul,"Acre,Amazonas,La_Paz,Loreto,Mato_Grosso,Meta,Para_do_Sul,Rondonia",Norte,9,358,262
Acre,"Amazonas_do_Sul,Cusco,La_Paz,Loreto,Ucayali",Norte,9,319,313
Amazonas,"Amazonas_do_Sul,Guainia,Meta,Para,Para_do_Sul,Roraima",Norte,9,403,179
Roraima,"Amazonas,Bolivar,Guainia,Guyana,Para",Norte,9,443,128
Para,"Amapa,Amazonas,Guyana,Maranhao,Para_do_Sul,Roraima,Suriname",Norte,9,563,148
Amapa,"French_Guiana,Para,Rio_Grande_do_Sul",Norte,9,611,111
Para_do_Sul,"Amazonas,Amazonas_do_Sul,Maranhao,Mato_Grosso,Para,Tocantins",Norte,9,592,227
Tocantins,"Bahia,Goias,Maranhao,Mato_Grosso,Para_do_Sul,Piaui",Norte,9,717,278
Maranhao,"Para,Para_do_Sul,Piaui,Tocantins",Nordeste,4,755,183
Piaui,"Bahia,Litoral_Nordenstino,Maranhao,Tocantins",Nordeste,4,826,215
Litoral_Nordenstino,"Bahia,Piaui",Nordeste,4,903,202
Bahia,"Espirito_Santo,Goias,Litoral_Nordenstino,Minas_Gerais,Piaui,Tocantins",Nordeste,4,857,279
Minas_Gerais,"Bahia,Espirito_Santo,Goias,Rio_de_Janeiro,Sao_Paulo",Leste,3,814,386
Espirito_Santo,"Bahia,Minas_Gerais,Rio_de_Janeiro",Leste,3,885,391
Rio_de_Janeiro,"Espirito_Santo,Minas_Gerais,Sao_Paulo",Leste,3,862,434
Sao_Paulo,"Mato_Grosso_do_Sul,Minas_Gerais,Parana,Rio_de_Janeiro",Leste,3,760,455
Parana,"Chaco,Mato_Grosso_do_Sul,San_Pedro,Santa_Catarnia,Sao_Paulo",Sudeste,3,697,510
Santa_Catarnia,"Chaco,Parana,Rio_Grande_do_Sul",Sudeste,3,757,553
Rio_Grande_do_Sul,"Amapa,Chaco,Santa_Catarnia,Uruguay",Sudeste,3,695,608
Uruguay,"Buenos_Aires,Chaco,Rio_Grande_do_Sul",Sul,7,643,679
Buenos_Aires,"Chaco,La_Rioja,Salta,San_Juan,Uruguay",Sul,7,534,732
Chaco,"Boqueron,Buenos_Aires,Parana,Rio_Grande_do_Sul,Salta,San_Pedro,Santa_Catarnia,Uruguay",Sul,7,579,597
Salta,"Antofagasta,Boqueron,Buenos_Aires,Chaco,La_Rioja,Oruro",Sul,7,427,559
La_Rioja,"Antofagasta,Atacama,Buenos_Aires,Salta,San_Juan",Sul,7,377,630
San_Juan,"Atacama,Buenos_Aires,Coquimbo,La_Rioja",Sul,7,382,738
Coquimbo,"Atacama,San_Juan",Sul,7,306,748
Atacama,"Antofagasta,Coquimbo,La_Rioja,San_Juan",Sul,7,319,638
Antofagasta,"Atacama,Choco,La_Rioja,Oruro,Salta,Tarapaca",Sul,7,331,559
Tarapaca,"Antofagasta,Cusco,La_Paz,Oruro",Sul,7,333,500
