A,B,C
Brazil1,"Brazil2,Brazil23",Norte
Brazil2,"Brazil1,Brazil4,Brazil5,Brazil6,Brazil23",Norte
Brazil3,"Brazil4,Brazil10,Brazil11,Brazil20,Brazil22,Brazil23",Norte
Brazil4,"Brazil2,Brazil3,Brazil5,Brazil7,Brazil10,Brazil23",Norte
Brazil5,"Brazil2,Brazil4,Brazil6,Brazil7,Brazil8",Norte
Brazil6,"Brazil2,Brazil5",Norte
Brazil7,"Brazil4,Brazil5,Brazil8,Brazil9,Brazil10",Norte
Brazil8,"Brazil5,Brazil7,Brazil10",Norte
Brazil9,"Brazil7,Brazil10",Norte
Brazil10,"Brazil3,Brazil4,Brazil7,Brazil8,Brazil9,Brazil11,Brazil12",Centro-Oeste
Brazil11,"Brazil3,Brazil10,Brazil12,Brazil19,Brazil20",Centro-Oeste
Brazil12,"Brazil10,Brazil11,Brazil13,Brazil15,Brazil16",Centro-Oeste
Brazil13,"Brazil12,Brazil14",Sul
Brazil14,"Brazil13,Brazil15,Brazil17",Sul
Brazil15,"Brazil12,Brazil14,Brazil16",Sul
Brazil16,"Brazil12,Brazil15,Brazil17,Brazil19",Sudeste
Brazil17,"Brazil14,Brazil16,Brazil18,Brazil19",Sudeste
Brazil18,"Brazil17,Brazil19,Brazil20,Brazil21",Sudeste
Brazil19,"Brazil11,Brazil16,Brazil17,Brazil18,Brazil20",Sudeste
Brazil20,"Brazil3,Brazil11,Brazil18,Brazil19,Brazil21,Brazil22",Nordeste
Brazil21,"Brazil18,Brazil20,Brazil22",Nordeste
Brazil22,"Brazil3,Brazil20,Brazil21,Brazil23",Nordeste
Brazil23,"Brazil1,Brazil2,Brazil3,Brazil4,Brazil22",Nordeste
