A,B,C
Castle1,Castle2,Royal Sanctum
Castle2,"Castle3,Castle5,Castle15,Castle1",Royal Sanctum
Castle3,"Castle2,Castle5",Royal Sanctum
Castle4,Castle5,Royal Sanctum
Castle5,"Castle2,Castle3,Castle4,Castle6,Castle7,Castle12",Royal Sanctum
Castle6,"Castle5,Castle7,Castle9",Royal Sanctum
Castle7,"Castle5,Castle6,Castle9",Royal Sanctum
Castle8,Castle9,South Guard
Castle9,"Castle6,Castle7,Castle8,Castle10,Castle11,Castle14",South Guard
Castle10,"Castle9,Castle30",South Guard
Castle11,"Castle9,Castle20",South Guard
Castle12,"Castle5,Castle13,Castle14",Inner District
Castle13,"Castle12,Castle14,Castle15,Castle21",Inner District
Castle14,"Castle9,Castle12,Castle13",Inner District
Castle15,"Castle2,Castle13,Castle16",Military Division
Castle16,"Castle15,Castle17,Castle18",Military Division
Castle17,"Castle16,Castle18",Military Division
Castle18,"Castle16,Castle17,Castle19,Castle21,Castle22",Military Division
Castle19,"Castle18,Castle20,Castle26",Military Division
Castle20,"Castle11,Castle19",Military Division
Castle21,"Castle13,Castle18,Castle22,Castle23,Castle24,Castle25",Central Plaza
Castle22,"Castle18,Castle21,Castle25",Central Plaza
Castle23,"Castle21,Castle24",Central Plaza
Castle24,"Castle21,Castle23,Castle25",Central Plaza
Castle25,"Castle21,Castle22,Castle24,Castle28",Central Plaza
Castle26,"Castle19,Castle27",Castle Exterior
Castle27,"Castle26,Castle28,Castle29",Castle Exterior
Castle28,"Castle25,Castle27,Castle29,Castle30",Castle Exterior
Castle29,"Castle27,Castle28,Castle30,Castle31",Castle Exterior
Castle30,"Castle10,Castle28,Castle29,Castle31",Castle Exterior
Castle31,"Castle29,Castle30",Castle Exterior
