Range,Pixel Pair 1,Pixel Pair 2
Castle1,630,100
Castle2,564,239
Castle3,460,252
Castle4,360,384
Castle5,524,360
Castle6,506,508
Castle7,590,494
Castle8,374,679
Castle9,797,590
Castle10,784,696
Castle11,982,634
Castle12,698,329
Castle13,831,298
Castle14,772,435
Castle15,839,149
Castle16,944,125
Castle17,1025,99
Castle18,1045,196
Castle19,1214,123
Castle20,1316,367
Castle21,1014,366
Castle22,1133,290
Castle23,972,504
Castle24,1065,484
Castle25,1157,410
Castle26,1319,218
Castle27,1520,482
Castle28,1375,529
Castle29,1558,625
Castle30,1180,824
Castle31,1509,732
