Territory,Connections,Continent,Value,Pixel Pair 1,Pixel Pair 2
Castle1,Castle2,Royal Sanctum,5,630,100
Castle2,"Castle3,Castle5,Castle15,Castle1",Royal Sanctum,5,564,239
Castle3,"Castle2,Castle5",Royal Sanctum,5,460,252
Castle4,Castle5,Royal Sanctum,5,360,384
Castle5,"Castle2,Castle3,Castle4,Castle6,Castle7,Castle12",Royal Sanctum,5,524,360
Castle6,"Castle5,Castle7,Castle9",Royal Sanctum,5,506,508
Castle7,"Castle5,Castle6,Castle9",Royal Sanctum,5,590,494
Castle8,Castle9,South Guard,2,374,679
Castle9,"Castle6,Castle7,Castle8,Castle10,Castle11,Castle14",South Guard,2,797,590
Castle10,"Castle9,Castle30",South Guard,2,784,696
Castle11,"Castle9,Castle20",South Guard,2,982,634
Castle12,"Castle5,Castle13,Castle14",Inner District,2,698,329
Castle13,"Castle12,Castle14,Castle15,Castle21",Inner District,2,831,298
Castle14,"Castle9,Castle12,Castle13",Inner District,2,772,435
Castle15,"Castle2,Castle13,Castle16",Military Division,4,839,149
Castle16,"Castle15,Castle17,Castle18",Military Division,4,944,125
Castle17,"Castle16,Castle18",Military Division,4,1025,99
Castle18,"Castle16,Castle17,Castle19,Castle21,Castle22",Military Division,4,1045,196
Castle19,"Castle18,Castle20,Castle26",Military Division,4,1214,123
Castle20,"Castle11,Castle19",Military Division,4,1316,367
Castle21,"Castle13,Castle18,Castle22,Castle23,Castle24,Castle25",Central Plaza,3,1014,366
Castle22,"Castle18,Castle21,Castle25",Central Plaza,3,1133,290
Castle23,"Castle21,Castle24",Central Plaza,3,972,504
Castle24,"Castle21,Castle23,Castle25",Central Plaza,3,1065,484
Castle25,"Castle21,Castle22,Castle24,Castle28",Central Plaza,3,1157,410
Castle26,"Castle19,Castle27",Castle Exterior,3,1319,218
Castle27,"Castle26,Castle28,Castle29",Castle Exterior,3,1520,482
Castle28,"Castle25,Castle27,Castle29,Castle30",Castle Exterior,3,1375,529
Castle29,"Castle27,Castle28,Castle30,Castle31",Castle Exterior,3,1558,625
Castle30,"Castle10,Castle28,Castle29,Castle31",Castle Exterior,3,1180,824
Castle31,"Castle29,Castle30",Castle Exterior,3,1509,732
