Range,Pixel Pair 1,Pixel Pair 2
Alaska,366,171
Northwest_Territory,488,168
Greenland,718,128
Alberta,457,225
Ontario,541,241
Quebec,626,240
Western_United_States,442,307
Eastern_United_States,534,330
Central_America,417,402
Venezuela,517,485
Peru,484,602
Brazil,594,572
Argentina,500,716
Iceland,805,197
Great_Britain,768,284
Scandinavia,917,196
Ukraine,1012,250
Northern_Europe,899,303
Western_Europe,804,388
Southern_Europe,907,371
Egypt,938,502
North_Africa,838,545
East_Africa,1019,613
Congo,842,663
South_Africa,940,782
Madagascar,1093,784
Indonesia,1337,650
New_Guinea,1481,610
Western_Australia,1405,807
Eastern_Australia,1497,738
Kamchatka,1408,169
Japan,1470,316
Yakutsk,1307,150
Irkutsk,1301,242
Mongolia,1320,314
Siberia,1209,174
Ural,1145,222
China,1289,386
Afghanistan,1127,331
Middle_East,1057,451
India,1203,446
Siam,1317,496
