Range,Pixel Pair 1,Pixel Pair 2
DC1,416,224
DC2,490,150
DC3,557,189
DC4,636,174
DC5,789,112
DC6,749,156
DC7,851,162
DC8,1031,210
DC9,936,280
DC10,761,250
DC11,626,259
DC12,524,274
DC13,636,364
DC14,674,462
DC15,760,406
DC16,871,374
DC17,861,472
DC18,1113,454
DC19,1072,534
DC20,991,590
DC21,1114,616
DC22,1206,552
DC23,1220,407
DC24,1284,486
DC25,1359,534
DC26,1300,598
DC27,1208,714
DC28,1109,742
DC29,1031,679
DC30,966,694
DC31,894,702
DC32,737,818
DC33,507,802
DC34,458,742
DC35,397,797
DC36,226,803
DC37,141,751
DC38,237,584
DC39,275,468
DC40,379,531
DC41,402,632
DC42,305,681
DC43,566,665
DC44,656,712
