A,B,C
DT1,"DT2,DT4",The Cube
DT2,"DT1,DT3,DT4,DT5,DT17",The Cube
DT3,DT2,The Cube
DT4,"DT1,DT2,DT5,DT6",The Cube
DT5,"DT2,DT4,DT6,DT7,DT16",The Cube
DT6,"DT4,DT5,DT7,DT8",The Cube
DT7,"DT5,DT6,DT16",The Cube
DT8,"DT6,DT9,DT10,DT11",Delta Quadrant
DT9,"DT8,DT10",Delta Quadrant
DT10,"DT8,DT9,DT11,DT12",Delta Quadrant
DT11,"DT8,DT10",Delta Quadrant
DT12,"DT10,DT13,DT14",Formerly Neutral Zone
DT13,"DT12,DT14,DT27",Formerly Neutral Zone
DT14,"DT12,DT13,DT15",Formerly Neutral Zone
DT15,"DT14,DT16,DT17,DT18",Worm Hole
DT16,"DT5,DT7,DT15,DT17",Worm Hole
DT17,"DT2,DT15,DT16,DT18,DT19",Worm Hole
DT18,"DT15,DT17,DT19",Worm Hole
DT19,"DT17,DT18,DT20",Worm Hole
DT20,"DT19,DT21,DT23,DT24",Marble Twilight
DT21,"DT20,DT22,DT23",Marble Twilight
DT22,"DT21,DT23,DT35",Marble Twilight
DT23,"DT20,DT21,DT22,DT24,DT25",Marble Twilight
DT24,"DT20,DT23,DT25",Marble Twilight
DT25,"DT23,DT24,DT26",Zeta Cluster
DT26,"DT25,DT27,DT28",Zeta Cluster
DT27,"DT13,DT26",Zeta Cluster
DT28,"DT26,DT29,DT30,DT34",Dark System
DT29,"DT28,DT30",Dark System
DT30,"DT28,DT29,DT31,DT32,DT34",Dark System
DT31,"DT30,DT32,DT33",Dark System
DT32,"DT30,DT31,DT33,DT39",Dark System
DT33,"DT31,DT32,DT34",Dark System
DT34,"DT28,DT30,DT33,DT36",Dark System
DT35,"DT22,DT36",Sector 42
DT36,"DT34,DT35,DT37,DT38",Sector 42
DT37,"DT36,DT38,DT39",Sector 42
DT38,"DT36,DT37,DT39",Sector 42
DT39,"DT32,DT37,DT38",Sector 42
