Range,Pixel Pair 1,Pixel Pair 2
DT1,470,69
DT2,682,76
DT3,772,60
DT4,540,130
DT5,574,273
DT6,530,321
DT7,615,346
DT8,472,460
DT9,366,539
DT10,526,542
DT11,623,450
DT12,736,529
DT13,811,427
DT14,760,401
DT15,744,294
DT16,681,255
DT17,745,203
DT18,822,271
DT19,841,184
DT20,995,137
DT21,1089,65
DT22,1179,78
DT23,1085,148
DT24,1002,203
DT25,1106,297
DT26,1019,397
DT27,996,513
DT28,1149,429
DT29,1138,542
DT30,1294,496
DT31,1415,477
DT32,1538,404
DT33,1432,313
DT34,1221,310
DT35,1201,197
DT36,1276,188
DT37,1360,197
DT38,1305,70
DT39,1495,117
