Territory,Connections,Continent,Value,Pixel Pair 1,Pixel Pair 2
DT1,"DT2,DT4",The Cube,4,470,69
DT2,"DT1,DT3,DT4,DT5,DT17",The Cube,4,682,76
DT3,DT2,The Cube,4,772,60
DT4,"DT1,DT2,DT5,DT6",The Cube,4,540,130
DT5,"DT2,DT4,DT6,DT7,DT16",The Cube,4,574,273
DT6,"DT4,DT5,DT7,DT8",The Cube,4,530,321
DT7,"DT5,DT6,DT16",The Cube,4,615,346
DT8,"DT6,DT9,DT10,DT11",Delta Quadrant,2,472,460
DT9,"DT8,DT10",Delta Quadrant,2,366,539
DT10,"DT8,DT9,DT11,DT12",Delta Quadrant,2,526,542
DT11,"DT8,DT10",Delta Quadrant,2,623,450
DT12,"DT10,DT13,DT14",Formerly Neutral Zone,3,736,529
DT13,"DT12,DT14,DT27",Formerly Neutral Zone,3,811,427
DT14,"DT12,DT13,DT15",Formerly Neutral Zone,3,760,401
DT15,"DT14,DT16,DT17,DT18",Worm Hole,4,744,294
DT16,"DT5,DT7,DT15,DT17",Worm Hole,4,681,255
DT17,"DT2,DT15,DT16,DT18,DT19",Worm Hole,4,745,203
DT18,"DT15,DT17,DT19",Worm Hole,4,822,271
DT19,"DT17,DT18,DT20",Worm Hole,4,841,184
DT20,"DT19,DT21,DT23,DT24",Marble Twilight,4,995,137
DT21,"DT20,DT22,DT23",Marble Twilight,4,1089,65
DT22,"DT21,DT23,DT35",Marble Twilight,4,1179,78
DT23,"DT20,DT21,DT22,DT24,DT25",Marble Twilight,4,1085,148
DT24,"DT20,DT23,DT25",Marble Twilight,4,1002,203
DT25,"DT23,DT24,DT26",Zeta Cluster,3,1106,297
DT26,"DT25,DT27,DT28",Zeta Cluster,3,1019,397
DT27,"DT13,DT26",Zeta Cluster,3,996,513
DT28,"DT26,DT29,DT30,DT34",Dark System,4,1149,429
DT29,"DT28,DT30",Dark System,4,1138,542
DT30,"DT28,DT29,DT31,DT32,DT34",Dark System,4,1294,496
DT31,"DT30,DT32,DT33",Dark System,4,1415,477
DT32,"DT30,DT31,DT33,DT39",Dark System,4,1538,404
DT33,"DT31,DT32,DT34",Dark System,4,1432,313
DT34,"DT28,DT30,DT33,DT36",Dark System,4,1221,310
DT35,"DT22,DT36",Sector 42,3,1201,197
DT36,"DT34,DT35,DT37,DT38",Sector 42,3,1276,188
DT37,"DT36,DT38,DT39",Sector 42,3,1360,197
DT38,"DT36,DT37,DT39",Sector 42,3,1305,70
DT39,"DT32,DT37,DT38",Sector 42,3,1495,117
