Territory,Connections,Continent,Value,Pixel Pair 1,Pixel Pair 2
DC1,"DC2,DC3,DC12,DC39",Pterodactyl Terrace,6,416,224
DC2,"DC1,DC3,DC4",Pterodactyl Terrace,6,490,150
DC3,"DC1,DC2,DC4,DC11,DC12",Pterodactyl Terrace,6,557,189
DC4,"DC2,DC3,DC5,DC6,DC10,DC11",Pterodactyl Terrace,6,636,174
DC5,"DC4,DC6,DC7",Pterodactyl Terrace,6,789,112
DC6,"DC4,DC5,DC7,DC10",Pterodactyl Terrace,6,749,156
DC7,"DC5,DC6,DC8,DC9,DC10",Pterodactyl Terrace,6,851,162
DC8,"DC7,DC9,DC23",Pterodactyl Terrace,6,1031,210
DC9,"DC7,DC8,DC10,DC16,DC18",Carnotaurus Cliff,4,936,280
DC10,"DC4,DC6,DC7,DC9,DC11,DC13,DC15,DC16",Carnotaurus Cliff,4,761,250
DC11,"DC3,DC4,DC10,DC12,DC13",Carnotaurus Cliff,4,626,259
DC12,"DC1,DC3,DC11,DC13,DC40",Carnotaurus Cliff,4,524,274
DC13,"DC10,DC11,DC12,DC14,DC15",Hadrosaurus Plane,4,636,364
DC14,"DC13,DC15",Hadrosaurus Plane,4,674,462
DC15,"DC10,DC13,DC14,DC16,DC17",Hadrosaurus Plane,4,760,406
DC16,"DC9,DC10,DC15,DC17",Hadrosaurus Plane,4,871,374
DC17,"DC15,DC16",Hadrosaurus Plane,4,861,472
DC18,"DC9,DC19,DC22,DC23,DC24",Carnivore Clutch,4,1113,454
DC19,"DC18,DC20,DC21,DC22",Carnivore Clutch,4,1072,534
DC20,"DC19,DC21,DC29,DC30",Carnivore Clutch,4,991,590
DC21,"DC19,DC20,DC22,DC26,DC27,DC29",Carnivore Clutch,4,1114,616
DC22,"DC18,DC19,DC21,DC24,DC26",Carnivore Clutch,4,1206,552
DC23,"DC8,DC18,DC24",Pen,4,1220,407
DC24,"DC18,DC22,DC23,DC25,DC26",Pen,4,1284,486
DC25,"DC24,DC26",Pen,4,1359,534
DC26,"DC21,DC22,DC24,DC25,DC27",Pen,4,1300,598
DC27,"DC21,DC26,DC28,DC29",Pen,4,1208,714
DC28,"DC27,DC29,DC30",Temple of Bob,4,1109,742
DC29,"DC20,DC21,DC27,DC28,DC30",Temple of Bob,4,1031,679
DC30,"DC20,DC28,DC29,DC31,DC32",Temple of Bob,4,966,694
DC31,"DC30,DC32,DC44",Temple of Bob,4,894,702
DC32,"DC30,DC31,DC33,DC34,DC43,DC44",Temple of Bob,4,737,818
DC33,"DC32,DC34,DC35",Lava Fields,5,507,802
DC34,"DC32,DC33,DC35,DC36,DC41,DC43",Lava Fields,5,458,742
DC35,"DC33,DC34,DC36",Lava Fields,5,397,797
DC36,"DC34,DC35,DC37,DC41,DC42",Lava Fields,5,226,803
DC37,"DC36,DC38,DC42",Lava Fields,5,141,751
DC38,"DC37,DC39,DC40,DC41,DC42",Lava Fields,5,237,584
DC39,"DC1,DC38,DC40",Lava Fields,5,275,468
DC40,"DC12,DC38,DC39,DC41",Herbivore Hatchery,4,379,531
DC41,"DC34,DC36,DC38,DC40,DC42,DC43",Herbivore Hatchery,4,402,632
DC42,"DC36,DC37,DC38,DC41",Herbivore Hatchery,4,305,681
DC43,"DC32,DC34,DC41,DC44",Herbivore Hatchery,4,566,665
DC44,"DC31,DC32,DC43",Herbivore Hatchery,4,656,712
