A,B,C
DW1,"DW2,DW30,DW31",North Verdent
DW2,"DW1,DW3,DW4",North Verdent
DW3,"DW2,DW4",North Verdent
DW4,"DW2,DW3,DW5",North Verdent
DW5,"DW4,DW6",North Verdent
DW6,"DW5,DW7,DW8,DW10",Hunting Thickets
DW7,"DW6,DW8,DW9,DW10",Hunting Thickets
DW8,"DW6,DW7",Hunting Thickets
DW9,"DW7,DW10,DW33",Hunting Thickets
DW10,"DW6,DW7,DW9,DW11",Hunting Thickets
DW11,"DW10,DW12",Frozen Wastes
DW12,"DW11,DW13,DW39",Frozen Wastes
DW13,"DW12,DW14,DW15",Frozen Wastes
DW14,DW13,Frozen Wastes
DW15,"DW13,DW16,DW17,DW18",Red Lands
DW16,"DW15,DW17",Red Lands
DW17,"DW15,DW16,DW18",Red Lands
DW18,"DW15,DW17,DW19",Red Lands
DW19,"DW18,DW20,DW21",East Blossom
DW20,"DW19,DW21,DW23,DW28,DW35",East Blossom
DW21,"DW19,DW20,DW22,DW23",East Blossom
DW22,"DW21,DW23",East Blossom
DW23,"DW20,DW21,DW22,DW24",East Blossom
DW24,"DW23,DW25,DW26",Mist Lands
DW25,"DW24,DW26,DW27",Mist Lands
DW26,"DW24,DW25,DW27",Mist Lands
DW27,"DW25,DW26,DW29",Mist Lands
DW28,"DW20,DW29",Seasonal Frost
DW29,"DW27,DW28,DW30,DW31",Seasonal Frost
DW30,"DW1,DW29,DW31",Seasonal Frost
DW31,"DW1,DW29,DW30,DW32",Seasonal Frost
DW32,"DW31,DW33,DW34",Roaming Plains
DW33,"DW9,DW32,DW34,DW37",Roaming Plains
DW34,"DW32,DW33,DW35,DW37",Roaming Plains
DW35,"DW20,DW34,DW36",Roaming Plains
DW36,"DW35,DW37,DW39",Thundering Plains
DW37,"DW33,DW34,DW36,DW38,DW39",Thundering Plains
DW38,"DW37,DW39",Thundering Plains
DW39,"DW12,DW36,DW37,DW38",Thundering Plains
