Range,Pixel Pair 1,Pixel Pair 2
DW1,746,69
DW2,520,64
DW3,431,79
DW4,506,124
DW5,441,202
DW6,408,397
DW7,462,403
DW8,530,384
DW9,576,469
DW10,472,597
DW11,748,723
DW12,855,716
DW13,1375,727
DW14,1492,734
DW15,1529,480
DW16,1631,413
DW17,1561,412
DW18,1468,465
DW19,1310,278
DW20,1199,210
DW21,1419,191
DW22,1501,204
DW23,1458,150
DW24,1373,77
DW25,1268,39
DW26,1280,82
DW27,1186,39
DW28,1077,109
DW29,969,134
DW30,964,75
DW31,872,157
DW32,825,279
DW33,840,344
DW34,973,288
DW35,1077,279
DW36,1047,428
DW37,952,393
DW38,954,476
DW39,1016,547
