Territory,Connections,Continent,Value,Pixel Pair 1,Pixel Pair 2
DW1,"DW2,DW30,DW31",North Verdent,4,746,69
DW2,"DW1,DW3,DW4",North Verdent,4,520,64
DW3,"DW2,DW4",North Verdent,4,431,79
DW4,"DW2,DW3,DW5",North Verdent,4,506,124
DW5,"DW4,DW6",North Verdent,4,441,202
DW6,"DW5,DW7,DW8,DW10",Hunting Thickets,4,408,397
DW7,"DW6,DW8,DW9,DW10",Hunting Thickets,4,462,403
DW8,"DW6,DW7",Hunting Thickets,4,530,384
DW9,"DW7,DW10,DW33",Hunting Thickets,4,576,469
DW10,"DW6,DW7,DW9,DW11",Hunting Thickets,4,472,597
DW11,"DW10,DW12",Frozen Wastes,3,748,723
DW12,"DW11,DW13,DW39",Frozen Wastes,3,855,716
DW13,"DW12,DW14,DW15",Frozen Wastes,3,1375,727
DW14,DW13,Frozen Wastes,3,1492,734
DW15,"DW13,DW16,DW17,DW18",Red Lands,3,1529,480
DW16,"DW15,DW17",Red Lands,3,1631,413
DW17,"DW15,DW16,DW18",Red Lands,3,1561,412
DW18,"DW15,DW17,DW19",Red Lands,3,1468,465
DW19,"DW18,DW20,DW21",East Blossom,4,1310,278
DW20,"DW19,DW21,DW23,DW28,DW35",East Blossom,4,1199,210
DW21,"DW19,DW20,DW22,DW23",East Blossom,4,1419,191
DW22,"DW21,DW23",East Blossom,4,1501,204
DW23,"DW20,DW21,DW22,DW24",East Blossom,4,1458,150
DW24,"DW23,DW25,DW26",Mist Lands,3,1373,77
DW25,"DW24,DW26,DW27",Mist Lands,3,1268,39
DW26,"DW24,DW25,DW27",Mist Lands,3,1280,82
DW27,"DW25,DW26,DW29",Mist Lands,3,1186,39
DW28,"DW20,DW29",Seasonal Frost,3,1077,109
DW29,"DW27,DW28,DW30,DW31",Seasonal Frost,3,969,134
DW30,"DW1,DW29,DW31",Seasonal Frost,3,964,75
DW31,"DW1,DW29,DW30,DW32",Seasonal Frost,3,872,157
DW32,"DW31,DW33,DW34",Roaming Plains,4,825,279
DW33,"DW9,DW32,DW34,DW37",Roaming Plains,4,840,344
DW34,"DW32,DW33,DW35,DW37",Roaming Plains,4,973,288
DW35,"DW20,DW34,DW36",Roaming Plains,4,1077,279
DW36,"DW35,DW37,DW39",Thundering Plains,3,1047,428
DW37,"DW33,DW34,DW36,DW38,DW39",Thundering Plains,3,952,393
DW38,"DW37,DW39",Thundering Plains,3,954,476
DW39,"DW12,DW36,DW37,DW38",Thundering Plains,3,1016,547
