A,B,C
Brittany,"Lower_Normandy,Western_Loire_Valley",Western France
Lower_Normandy,"Brittany,Western_Loire_Valley,Upper_Normandy,Center_Loire_Valley",Western France
Upper_Normandy,"Lower_Normandy,Center_Loire_Valley,Picardie,Ile_de_France",Western France
Western_Loire_Valley,"Brittany,Lower_Normandy,Center_Loire_Valley,Poitou_Chanente",Western France
Center_Loire_Valley,"Lower_Normandy,Upper_Normandy,Western_Loire_Valley,Poitou_Chanente,Ile_de_France,Burgundy,Limousin,Northern_Auvergne",Western France
Poitou_Chanente,"Western_Loire_Valley,Center_Loire_Valley,Limousin,Northern_Aquitaine",Western France
Nord_Pas_de_Calais,Picardie,Northern France
Picardie,"Upper_Normandy,Nord_Pas_de_Calais,Ile_de_France,Champagne",Northern France
Ile_de_France,"Upper_Normandy,Center_Loire_Valley,Picardie,Champagne,Burgundy",Northern France
Champagne,"Picardie,Ile_de_France,Lorraine,Burgundy,Franche_Comte",Eastern France
Lorraine,"Champagne,Alsace,Franche_Comte",Eastern France
Alsace,"Lorraine,Franche_Comte",Eastern France
Burgundy,"Center_Loire_Valley,Ile_de_France,Champagne,Franche_Comte,Northern_Auvergne,Rhone_Alps",Eastern France
Franche_Comte,"Champagne,Lorraine,Alsace,Burgundy,Rhone_Alps",Eastern France
Limousin,"Center_Loire_Valley,Poitou_Chanente,Northern_Auvergne,Southern_Auvergne,Northern_Aquitaine,Northern_Midi_Pyrenees",Central France
Northern_Auvergne,"Center_Loire_Valley,Burgundy,Limousin,Southern_Auvergne,Rhone_Alps",Central France
Southern_Auvergne,"Limousin,Northern_Auvergne,Northern_Midi_Pyrenees,Rhone_Alps,Languedoc_Roussillon",Central France
Northern_Aquitaine,"Poitou_Chanente,Limousin,Southern_Aquitaine,Northern_Midi_Pyrenees,Southern_Midi_Pyrenees",Southwestern France
Southern_Aquitaine,"Northern_Aquitaine,Southern_Midi_Pyrenees",Southwestern France
Northern_Midi_Pyrenees,"Limousin,Southern_Auvergne,Northern_Aquitaine,Southern_Midi_Pyrenees,Languedoc_Roussillon",Southwestern France
Southern_Midi_Pyrenees,"Northern_Aquitaine,Southern_Aquitaine,Northern_Midi_Pyrenees,Languedoc_Roussillon",Southwestern France
Rhone_Alps,"Burgundy,Franche_Comte,Northern_Auvergne,Southern_Auvergne,Languedoc_Roussillon,Provence",Southern France
Languedoc_Roussillon,"Southern_Auvergne,Northern_Midi_Pyrenees,Southern_Midi_Pyrenees,Rhone_Alps,Provence,Corse",Southern France
Provence,"Rhone_Alps,Languedoc_Roussillon,Riviera",Southern France
Riviera,"Provence,Corse",Southern France
Corse,"Languedoc_Roussillon,Riviera",Southern France
