Range,Pixel Pair 1,Pixel Pair 2
Brittany,302,215
Lower_Normandy,465,160
Upper_Normandy,558,122
Western_Loire_Valley,430,272
Center_Loire_Valley,600,272
Poitou_Chanente,468,379
Nord_Pas_de_Calais,624,36
Picardie,670,113
Ile_de_France,656,173
Champagne,774,185
Lorraine,885,166
Alsace,985,183
Burgundy,783,288
Franche_Comte,910,271
Limousin,611,408
Northern_Auvergne,710,388
Southern_Auvergne,710,469
Northern_Aquitaine,497,520
Southern_Aquitaine,394,604
Northern_Midi_Pyrenees,625,557
Southern_Midi_Pyrenees,512,633
Rhone_Alps,888,442
Languedoc_Roussillon,798,579
Provence,936,558
Riviera,975,626
Corse,1141,723
