Range,Pixel Pair 1,Pixel Pair 2
Jules1,125,599
Jules2,179,693
Jules3,389,587
Jules4,329,728
Jules5,418,705
Jules6,508,654
Jules7,505,583
Jules8,518,488
Jules9,629,553
Jules10,697,501
Jules11,806,468
Jules12,914,402
Jules13,605,423
Jules14,744,420
Jules15,756,357
Jules16,886,315
Jules17,697,323
Jules18,997,444
Jules19,1105,412
Jules20,1128,505
Jules21,1144,615
Jules22,1238,558
Jules23,1308,618
Jules24,667,225
Jules25,702,121
Jules26,752,196
Jules27,825,228
Jules28,770,103
Jules29,993,312
Jules30,1037,245
Jules31,994,200
Jules32,907,215
Jules33,882,154
Jules34,844,95
Jules35,969,73
Jules36,1039,49
Jules37,955,155
Jules38,1100,183
Jules39,1122,289
Jules40,1235,113
Jules41,990,113
Jules42,1155,45
