A,B,C
MAB1,"MAB2,MAB10",Microchips
MAB2,"MAB1,MAB3,MAB4,MAB11",Microchips
MAB3,MAB2,Microchips
MAB4,"MAB2,MAB5,MAB10,MAB29",Microchips
MAB5,"MAB4,MAB6",Microchips
MAB6,"MAB5,MAB7,MAB9",Output
MAB7,"MAB6,MAB8,MAB9,MAB10,MAB25,MAB26",Output
MAB8,"MAB7,MAB19",Output
MAB9,"MAB6,MAB7",Output
MAB10,"MAB1,MAB4,MAB7",Output
MAB11,"MAB2,MAB12,MAB29",Ram
MAB12,"MAB11,MAB13",Ram
MAB13,"MAB12,MAB31",Ram
MAB14,MAB15,Drive
MAB15,"MAB14,MAB16,MAB31",Drive
MAB16,"MAB15,MAB17",Memory
MAB17,"MAB16,MAB18,MAB19,MAB31",Memory
MAB18,MAB17,Memory
MAB19,"MAB8,MAB17,MAB20,MAB22,MAB27",Extensions
MAB20,"MAB19,MAB21",Extensions
MAB21,"MAB20,MAB22",Extensions
MAB22,"MAB19,MAB21,MAB23",Extensions
MAB23,"MAB22,MAB24,MAB25",CPU
MAB24,"MAB23,MAB25",CPU
MAB25,"MAB7,MAB23,MAB24,MAB26",CPU
MAB26,"MAB7,MAB25,MAB27,MAB28,MAB30",GPU
MAB27,"MAB19,MAB26,MAB30,MAB31",GPU
MAB28,"MAB26,MAB29,MAB30",GPU
MAB29,"MAB4,MAB11,MAB28,MAB30",GPU
MAB30,"MAB26,MAB27,MAB28,MAB29,MAB31",GPU
MAB31,"MAB13,MAB15,MAB17,MAB27,MAB30",GPU
