Territory,Connections,Continent,Value,Pixel Pair 1,Pixel Pair 2
MAB1,"MAB2,MAB10",Microchips,3,643,48
MAB2,"MAB1,MAB3,MAB4,MAB11",Microchips,3,637,151
MAB3,MAB2,Microchips,3,524,151
MAB4,"MAB2,MAB5,MAB10,MAB29",Microchips,3,678,274
MAB5,"MAB4,MAB6",Microchips,3,625,395
MAB6,"MAB5,MAB7,MAB9",Output,4,602,528
MAB7,"MAB6,MAB8,MAB9,MAB10,MAB25,MAB26",Output,4,639,662
MAB8,"MAB7,MAB19",Output,4,644,835
MAB9,"MAB6,MAB7",Output,4,375,660
MAB10,"MAB1,MAB4,MAB7",Output,4,410,366
MAB11,"MAB2,MAB12,MAB29",Ram,3,801,131
MAB12,"MAB11,MAB13",Ram,3,910,62
MAB13,"MAB12,MAB31",Ram,3,1021,129
MAB14,MAB15,Drive,2,1167,134
MAB15,"MAB14,MAB16,MAB31",Drive,2,1230,124
MAB16,"MAB15,MAB17",Memory,3,1468,184
MAB17,"MAB16,MAB18,MAB19,MAB31",Memory,3,1393,396
MAB18,MAB17,Memory,3,1515,632
MAB19,"MAB8,MAB17,MAB20,MAB22,MAB27",Extensions,4,1114,515
MAB20,"MAB19,MAB21",Extensions,4,1265,550
MAB21,"MAB20,MAB22",Extensions,4,1257,794
MAB22,"MAB19,MAB21,MAB23",Extensions,4,1116,666
MAB23,"MAB22,MAB24,MAB25",CPU,4,980,609
MAB24,"MAB23,MAB25",CPU,4,905,702
MAB25,"MAB7,MAB23,MAB24,MAB26",CPU,4,826,628
MAB26,"MAB7,MAB25,MAB27,MAB28,MAB30",GPU,8,831,482
MAB27,"MAB19,MAB26,MAB30,MAB31",GPU,8,1024,470
MAB28,"MAB26,MAB29,MAB30",GPU,8,825,390
MAB29,"MAB4,MAB11,MAB28,MAB30",GPU,8,828,287
MAB30,"MAB26,MAB27,MAB28,MAB29,MAB31",GPU,8,944,330
MAB31,"MAB13,MAB15,MAB17,MAB27,MAB30",GPU,8,1025,316
