Range,Pixel Pair 1,Pixel Pair 2
Nan1,1123,76
Nan2,1038,90
Nan3,1077,166
Nan4,1001,134
Nan5,954,170
Nan6,1027,207
Nan7,894,212
Nan8,855,248
Nan9,755,222
Nan10,672,200
Nan11,581,214
Nan12,771,306
Nan13,848,355
Nan14,945,323
Nan15,1020,284
Nan16,787,444
Nan17,1222,182
Nan18,1342,248
Nan19,1390,346
Nan20,1264,319
Nan21,1190,283
Nan22,1113,357
Nan23,1192,407
Nan24,1354,509
Nan25,1227,541
Nan26,1080,568
Nan27,970,593
Nan28,978,480
Nan29,788,627
Nan30,607,670
Nan31,454,676
Nan32,270,720
Nan33,195,600
Nan34,124,466
Nan35,94,307
Nan36,311,246
Nan37,266,368
Nan38,426,349
Nan39,437,432
Nan40,632,421
Nan41,536,430
Nan42,511,342
