A,B,C
G1P1,"G2P1,G3P1,G4P1,G5P1,G1P2",Plazma1
G1P2,"G2P2,G3P2,G4P2,G5P2",Plazma1
G1P3,"G2P3,G3P3,G4P3,G5P3",Plazma1
G1P4,"G2P4,G3P4,G4P4,G5P4",Plazma1
G1P5,"G2P5,G3P5,G4P5,G5P5",Plazma1
G1P6,"G2P6,G3P6,G4P6,G5P6",Plazma1
G2P1,"G3P1,G4P1,G5P1,G2P5",Plazma1
G2P2,"G3P2,G4P2,G5P2",Plazma1
G2P3,"G3P3,G4P3,G5P3",Plazma1
G2P4,"G3P4,G4P4,G5P4",Plazma1
G2P5,"G3P5,G4P5,G5P5",Plazma1
G2P6,"G3P6,G4P6,G5P6",Plazma1
G3P1,"G4P1,G5P1,G3P2,G3P3",Plazma1
G3P2,"G4P2,G5P2",Plazma1
G3P3,"G4P3,G5P3",Plazma1
G3P4,"G4P4,G5P4",Plazma1
G3P5,"G4P5,G5P5",Plazma1
G3P6,"G4P6,G5P6",Plazma1
G4P1,"G5P1,G4P3,G4P6",Plazma1
G4P2,G5P2,Plazma1
G4P3,G5P3,Plazma1
G4P4,G5P4,Plazma1
G4P5,G5P5,Plazma1
G4P6,G5P6,Plazma1
G5P1,"G5P2,G5P3,G5P4,G5P5,G5P6",Plazma1
G5P2,"G5P1,G5P3,G5P4,G5P5,G5P6",Plazma1
G5P3,"G5P1,G5P2,G5P4,G5P5,G5P6",Plazma1
G5P4,"G5P1,G5P2,G5P3,G5P5,G5P6",Plazma1
G5P5,"G5P1,G5P2,G5P3,G5P4,G5P6",Plazma1
G5P6,"G5P1,G5P2,G5P3,G5P4,G5P5",Plazma1
