A,B,C
RE1,"RE2,RE4",Provincia VII
RE2,"RE1,RE3",Provincia VII
RE3,"RE2,RE4,RE37,RE38",Provincia I
RE4,"RE1,RE3,RE5,RE6,RE38",Provincia I
RE5,"RE4,RE6,RE7",Provincia I
RE6,"RE4,RE5,RE7,RE38,RE39",Provincia I
RE7,"RE5,RE6,RE8,RE9,RE10",Provincia I
RE8,"RE7,RE9",Provincia I
RE9,"RE7,RE8,RE10",Provincia I
RE10,"RE7,RE9,RE11",Provincia I
RE11,"RE10,RE12",Provincia V
RE12,"RE11,RE13",Provincia V
RE13,"RE12,RE14,RE43",Provincia V
RE14,"RE13,RE15",Provincia V
RE15,"RE14,RE16,RE17",Provincia V
RE16,"RE15,RE17,RE18",Provincia IV
RE17,"RE15,RE16,RE18",Provincia IV
RE18,"RE16,RE17,RE19,RE20",Provincia IV
RE19,"RE18,RE20,RE22,RE23",Provincia IV
RE20,"RE18,RE19,RE21,RE22",Provincia IV
RE21,"RE20,RE22,RE25",Provincia IV
RE22,"RE19,RE20,RE21,RE23,RE24,RE25",Provincia IV
RE23,"RE19,RE22,RE24",Provincia IV
RE24,"RE22,RE23,RE25,RE26",Provincia IV
RE25,"RE21,RE22,RE24,RE26",Provincia IV
RE26,"RE24,RE25,RE27,RE28,RE29",Provincia III
RE27,"RE26,RE28,RE32",Provincia III
RE28,"RE26,RE27,RE29,RE32,RE33,RE34",Provincia III
RE29,"RE26,RE28,RE30,RE33,RE40",Provincia III
RE30,"RE29,RE31",Provincia III
RE31,RE30,Provincia III
RE32,"RE27,RE28,RE34",Provincia II
RE33,"RE28,RE29,RE34,RE39",Provincia II
RE34,"RE28,RE32,RE33,RE35,RE39",Provincia II
RE35,"RE34,RE36,RE39",Provincia II
RE36,"RE35,RE38,RE39",Provincia II
RE37,"RE3,RE38",Provincia VI
RE38,"RE3,RE4,RE6,RE36,RE37,RE39",Provincia VI
RE39,"RE6,RE33,RE34,RE35,RE36,RE38,RE40",Provincia VI
RE40,"RE29,RE39,RE41,RE42,RE43",Provincia VI
RE41,"RE40,RE42",Provincia VI
RE42,"RE40,RE41",Provincia VI
RE43,"RE13,RE40",Provincia VI
