Range,Pixel Pair 1,Pixel Pair 2
RE1,399,105
RE2,432,85
RE3,557,193
RE4,486,210
RE5,513,269
RE6,578,293
RE7,452,401
RE8,368,361
RE9,366,422
RE10,395,472
RE11,409,555
RE12,626,500
RE13,689,496
RE14,933,572
RE15,1130,602
RE16,1208,593
RE17,1223,508
RE18,1262,423
RE19,1184,400
RE20,1168,367
RE21,1182,328
RE22,1135,336
RE23,1107,410
RE24,1054,383
RE25,1094,328
RE26,983,317
RE27,980,271
RE28,909,295
RE29,913,345
RE30,895,377
RE31,929,421
RE32,901,223
RE33,792,273
RE34,795,222
RE35,736,208
RE36,679,200
RE37,574,136
RE38,622,192
RE39,632,272
RE40,728,316
RE41,665,332
RE42,671,384
RE43,781,431
