Territory,Connections,Continent,Value,Pixel Pair 1,Pixel Pair 2
RE1,"RE2,RE4",Provincia VII,2,399,105
RE2,"RE1,RE3",Provincia VII,2,432,85
RE3,"RE2,RE4,RE37,RE38",Provincia I,6,557,193
RE4,"RE1,RE3,RE5,RE6,RE38",Provincia I,6,486,210
RE5,"RE4,RE6,RE7",Provincia I,6,513,269
RE6,"RE4,RE5,RE7,RE38,RE39",Provincia I,6,578,293
RE7,"RE5,RE6,RE8,RE9,RE10",Provincia I,6,452,401
RE8,"RE7,RE9",Provincia I,6,368,361
RE9,"RE7,RE8,RE10",Provincia I,6,366,422
RE10,"RE7,RE9,RE11",Provincia I,6,395,472
RE11,"RE10,RE12",Provincia V,2,409,555
RE12,"RE11,RE13",Provincia V,2,626,500
RE13,"RE12,RE14,RE43",Provincia V,2,689,496
RE14,"RE13,RE15",Provincia V,2,933,572
RE15,"RE14,RE16,RE17",Provincia V,2,1130,602
RE16,"RE15,RE17,RE18",Provincia IV,5,1208,593
RE17,"RE15,RE16,RE18",Provincia IV,5,1223,508
RE18,"RE16,RE17,RE19,RE20",Provincia IV,5,1262,423
RE19,"RE18,RE20,RE22,RE23",Provincia IV,5,1184,400
RE20,"RE18,RE19,RE21,RE22",Provincia IV,5,1168,367
RE21,"RE20,RE22,RE25",Provincia IV,5,1182,328
RE22,"RE19,RE20,RE21,RE23,RE24,RE25",Provincia IV,5,1135,336
RE23,"RE19,RE22,RE24",Provincia IV,5,1107,410
RE24,"RE22,RE23,RE25,RE26",Provincia IV,5,1054,383
RE25,"RE21,RE22,RE24,RE26",Provincia IV,5,1094,328
RE26,"RE24,RE25,RE27,RE28,RE29",Provincia III,4,983,317
RE27,"RE26,RE28,RE32",Provincia III,4,980,271
RE28,"RE26,RE27,RE29,RE32,RE33,RE34",Provincia III,4,909,295
RE29,"RE26,RE28,RE30,RE33,RE40",Provincia III,4,913,345
RE30,"RE29,RE31",Provincia III,4,895,377
RE31,RE30,Provincia III,4,929,421
RE32,"RE27,RE28,RE34",Provincia II,3,901,223
RE33,"RE28,RE29,RE34,RE39",Provincia II,3,792,273
RE34,"RE28,RE32,RE33,RE35,RE39",Provincia II,3,795,222
RE35,"RE34,RE36,RE39",Provincia II,3,736,208
RE36,"RE35,RE38,RE39",Provincia II,3,679,200
RE37,"RE3,RE38",Provincia VI,5,574,136
RE38,"RE3,RE4,RE6,RE36,RE37,RE39",Provincia VI,5,622,192
RE39,"RE6,RE33,RE34,RE35,RE36,RE38,RE40",Provincia VI,5,632,272
RE40,"RE29,RE39,RE41,RE42,RE43",Provincia VI,5,728,316
RE41,"RE40,RE42",Provincia VI,5,665,332
RE42,"RE40,RE41",Provincia VI,5,671,384
RE43,"RE13,RE40",Provincia VI,5,781,431
