Range,Pixel Pair 1,Pixel Pair 2
Supermax1,260,226
Supermax2,396,226
Supermax3,488,226
Supermax4,240,347
Supermax5,384,348
Supermax6,480,348
Supermax7,301,285
Supermax8,710,111
Supermax9,639,174
Supermax10,717,174
Supermax11,797,174
Supermax12,719,243
Supermax13,892,208
Supermax14,1074,127
Supermax15,1010,299
Supermax16,981,219
Supermax17,904,295
Supermax18,1056,473
Supermax19,1137,542
Supermax20,1271,671
Supermax21,1208,747
Supermax22,1147,698
Supermax23,921,499
Supermax24,763,562
Supermax25,699,632
Supermax26,702,798
Supermax27,831,632
Supermax28,840,798
Supermax29,766,632
Supermax30,432,494
Supermax31,592,498
Supermax32,414,602
Supermax33,498,683
Supermax34,594,609
Supermax35,497,588
Supermax36,753,305
Supermax37,847,343
Supermax38,850,445
Supermax39,759,488
Supermax40,658,440
Supermax41,658,345
Supermax42,756,390
