Territory,Connections,Pixel Pair 1,Pixel Pair 2,Continent,Value
WC1,"WC2,WC6,WC35",117,101,North America,5
WC2,"WC1,WC3,WC5,WC6",211,94,North America,5
WC3,"WC2,WC4,WC5,WC28,WC29",441,54,North America,5
WC4,"WC3,WC5,WC9",359,163,North America,5
WC5,"WC2,WC3,WC4,WC6,WC7,WC9",279,168,North America,5
WC6,"WC1,WC2,WC5,WC7",202,153,North America,5
WC7,"WC5,WC6,WC8,WC9,WC10",192,229,North America,5
WC8,"WC7,WC36",85,305,North America,5
WC9,"WC4,WC5,WC7,WC10",276,260,North America,5
WC10,"WC7,WC9,WC11",169,318,North America,5
WC11,"WC10,WC12,WC13",260,407,South America,3
WC12,"WC11,WC13,WC14",277,537,South America,3
WC13,"WC11,WC12,WC14,WC20",345,490,South America,3
WC14,"WC12,WC13,WC15,WC47",267,614,South America,3
WC15,"WC14,WC16",372,708,South America,3
WC16,"WC15,WC17,WC18,WC19",666,692,Africa,3
WC17,"WC16,WC18",804,688,Africa,3
WC18,"WC16,WC17,WC19,WC20,WC21,WC30",747,539,Africa,3
WC19,"WC16,WC18,WC20",663,575,Africa,3
WC20,"WC18,WC19,WC21,WC22,WC23,WC13",550,464,Africa,3
WC21,"WC18,WC20,WC22,WC30",653,420,Africa,3
WC22,"WC20,WC21,WC23,WC25,WC26,WC30",635,292,Europe,5
WC23,"WC20,WC22,WC24,WC25",505,335,Europe,5
WC24,"WC23,WC25,WC27,WC28",499,219,Europe,5
WC25,"WC22,WC23,WC24,WC26,WC27",615,224,Europe,5
WC26,"WC22,WC25,WC27,WC30,WC31,WC32",728,153,Europe,5
WC27,"WC24,WC25,WC26,WC28,WC29",640,109,Europe,5
WC28,"WC3,WC24,WC27",517,118,Europe,5
WC29,"WC3,WC27",662,36,Europe,5
WC30,"WC18,WC21,WC22,WC26,WC31,WC40",747,353,Asia,7
WC31,"WC26,WC30,WC32,WC39,WC40",822,262,Asia,7
WC32,"WC26,WC31,WC33,WC39",834,150,Asia,7
WC33,"WC32,WC34,WC37,WC38,WC39",896,126,Asia,7
WC34,"WC33,WC35,WC37",974,83,Asia,7
WC35,"WC1,WC34,WC36,WC37,WC38",1068,92,Asia,7
WC36,"WC8,WC35,WC38,WC43",1133,263,Asia,7
WC37,"WC33,WC34,WC35,WC38",982,179,Asia,7
WC38,"WC33,WC35,WC36,WC37,WC39",1002,240,Asia,7
WC39,"WC31,WC32,WC33,WC38,WC40,WC41",966,312,Asia,7
WC40,"WC30,WC31,WC39,WC41",904,379,Asia,7
WC41,"WC39,WC40,WC42",991,400,Asia,7
WC42,"WC41,WC43,WC44,WC45",1021,535,Oceania,4
WC43,"WC36,WC42",1166,430,Oceania,4
WC44,"WC42,WC45,WC46",1163,533,Oceania,4
WC45,"WC42,WC44,WC46",1067,692,Oceania,4
WC46,"WC44,WC45,WC47",1160,651,Oceania,4
WC47,"WC14,WC46",1304,777,Oceania,4
